
Symbol table '.dynsym' contains 2746 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 00000094     0 SECTION LOCAL  DEFAULT    1 .hash
     2: 00004b98     0 SECTION LOCAL  DEFAULT    2 .dynsym
     3: 0000f738     0 SECTION LOCAL  DEFAULT    3 .dynstr
     4: 00015764     0 SECTION LOCAL  DEFAULT    4 .rel.dyn
     5: 00017f4c     0 SECTION LOCAL  DEFAULT    5 .rel.plt
     6: 00019c2c     0 SECTION LOCAL  DEFAULT    6 .init
     7: 00019c38     0 SECTION LOCAL  DEFAULT    7 .plt
     8: 0001d610     0 SECTION LOCAL  DEFAULT    8 .text
     9: 000c8f64     0 SECTION LOCAL  DEFAULT    9 .fini
    10: 000c8f80     0 SECTION LOCAL  DEFAULT   10 .rodata
    11: 000d3aa0     0 SECTION LOCAL  DEFAULT   11 .data
    12: 000d6fa0     0 SECTION LOCAL  DEFAULT   12 .eh_frame
    13: 000d6fa4     0 SECTION LOCAL  DEFAULT   13 .dynamic
    14: 000d7054     0 SECTION LOCAL  DEFAULT   14 .ctors
    15: 000d705c     0 SECTION LOCAL  DEFAULT   15 .dtors
    16: 000d7064     0 SECTION LOCAL  DEFAULT   16 .jcr
    17: 000d7068     0 SECTION LOCAL  DEFAULT   17 .got
    18: 000d8300     0 SECTION LOCAL  DEFAULT   18 .bss
    19: 00000000     0 SECTION LOCAL  DEFAULT   19 .comment
    20: 00000000     0 SECTION LOCAL  DEFAULT   20 .gnu.warning.tmpnam
    21: 00000000     0 SECTION LOCAL  DEFAULT   21 .gnu.warning.tempnam
    22: 00000000     0 SECTION LOCAL  DEFAULT   22 .gnu.warning.gets
    23: 00000000     0 SECTION LOCAL  DEFAULT   23 .gnu.warning.set[...]
    24: 00000000     0 SECTION LOCAL  DEFAULT   24 .gnu.warning.mbrune
    25: 00000000     0 SECTION LOCAL  DEFAULT   25 .gnu.warning.mbrrune
    26: 00000000     0 SECTION LOCAL  DEFAULT   26 .gnu.warning.mbmb
    27: 00000000     0 SECTION LOCAL  DEFAULT   27 .gnu.warning.fgetrune
    28: 00000000     0 SECTION LOCAL  DEFAULT   28 .gnu.warning.fun[...]
    29: 00000000     0 SECTION LOCAL  DEFAULT   29 .gnu.warning.fputrune
    30: 00000000     0 SECTION LOCAL  DEFAULT   30 .gnu.warning.des[...]
    31: 00000000     0 SECTION LOCAL  DEFAULT   31 .gnu.warning.des[...]
    32: 00000000     0 SECTION LOCAL  DEFAULT   32 .gnu.warning.setkey
    33: 00000000     0 SECTION LOCAL  DEFAULT   33 .gnu.warning.encrypt
